D,L,Pe,anchored_return_ci_hi,anchored_return_ci_lo,anchored_return_rate,anchored_tail_count,anchored_tail_count_ci_hi,anchored_tail_count_ci_lo,ci_hi,ci_lo,coarse_anchored_rate,delta,discovery_fraction,discovery_fraction_ci_hi,discovery_fraction_ci_lo,discovery_fraction_ratio,discovery_fraction_ratio_ci_hi,discovery_fraction_ratio_ci_lo,endpoint_r2,endpoint_r2_ci_hi,endpoint_r2_ci_lo,estimate,exact_unique_fraction,expected_backtrack_rate,expected_slope,full_anchored_count,full_anchored_count_ci_hi,full_anchored_count_ci_lo,full_ci_hi,full_ci_lo,full_historical,full_historical_ci_hi,full_historical_ci_lo,full_historical_ratio,full_historical_ratio_ci_hi,full_historical_ratio_ci_lo,full_ratio_ci_hi,full_ratio_ci_lo,full_ratio_to_neutral,full_tail,gamma,high_dimension,historical_lag_1,historical_lag_1_ci_hi,historical_lag_1_ci_lo,historical_lag_32,historical_lag_32_ci_hi,historical_lag_32_ci_lo,historical_lag_8,historical_lag_8_ci_hi,historical_lag_8_ci_lo,horizon,horizon_per_state,informative_projection,kind,m,metric,model,new_state_ci_hi,new_state_ci_lo,new_state_rate,occupied_ci_hi,occupied_ci_lo,occupied_fraction,predicted_anchored_recurrent,predicted_cdt_separation,predicted_recurrent,projected_anchored_count,projected_anchored_count_ci_hi,projected_anchored_count_ci_lo,projected_ci_hi,projected_ci_lo,projected_historical,projected_historical_ci_hi,projected_historical_ci_lo,projected_historical_ratio,projected_historical_ratio_ci_hi,projected_historical_ratio_ci_lo,projected_ratio_ci_hi,projected_ratio_ci_lo,projected_ratio_to_neutral,projected_tail,quantitative_match,registered_label,self_repulsion,slope,slope_ci_hi,slope_ci_lo,states,suite,two_step_backtrack_rate,two_step_backtrack_rate_ci_hi,two_step_backtrack_rate_ci_lo
3,,,,,,,,,0.37847187499999996,0.30605312500000004,,,,,,,,,,,,0.345625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.002585358065081995,0.04452661959998296,-0.03799730841791021,,S1_projection,,,
3,,,,,,,,,0.022440624999999995,0.015,,,,,,,,,,,,0.0185,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.5339472263763494,-0.3831730891519734,-0.7191607880482647,,S1_projection,,,
3,,,,,,,,,0.017065624999999997,0.01025,,,,,,,,,,,,0.01325,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.5339472263763494,-0.3831730891519734,-0.7191607880482647,,S1_projection,,,
3,,,,,,,,,0.013375,0.007125,,,,,,,,,,,,0.01,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.5339472263763494,-0.3831730891519734,-0.7191607880482647,,S1_projection,,,
3,,,,,,,,,0.009440624999999998,0.004625,,,,,,,,,,,,0.007,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.5339472263763494,-0.3831730891519734,-0.7191607880482647,,S1_projection,,,
3,,,,,,,,,0.005875,0.0025,,,,,,,,,,,,0.004,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.5339472263763494,-0.3831730891519734,-0.7191607880482647,,S1_projection,,,
4,,,,,,,,,7.797440625,7.329421875,,,,,,,,,,,,7.561375,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.4934963766546709,0.5091960072902072,0.47969356467038937,,S1_projection,,,
4,,,,,,,,,11.155793749999999,10.463581249999999,,,,,,,,,,,,10.79175,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.4934963766546709,0.5091960072902072,0.47969356467038937,,S1_projection,,,
4,,,,,,,,,15.69455625,14.66096875,,,,,,,,,,,,15.18125,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.4934963766546709,0.5091960072902072,0.47969356467038937,,S1_projection,,,
4,,,,,,,,,21.891337500000002,20.477384375,,,,,,,,,,,,21.194375,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.4934963766546709,0.5091960072902072,0.47969356467038937,,S1_projection,,,
