index,x,y,t_seconds,stroke
206,293,335,10.650752067565918,4
207,299,346,10.674875736236572,4
208,303,350,10.697203636169434,4
209,321,356,10.724191665649414,4
210,410,380,10.840657711029053,5
211,420,386,10.86711597442627,5
212,427,389,10.891992807388306,5
213,446,391,10.916239976882935,5
214,482,389,10.940707683563232,5
215,514,384,10.962855100631714,5
216,526,376,10.978790521621704,5
217,532,363,10.994975328445435,5
218,534,349,11.011025667190552,5
219,539,330,11.027135372161865,5
220,542,306,11.042985916137695,5
221,545,285,11.058983087539673,5
222,545,263,11.074867248535156,5
223,543,245,11.092945098876953,5
224,538,222,11.11736512184143,5
225,532,198,11.140097379684448,5
226,525,185,11.15536904335022,5
227,519,177,11.1714608669281,5
228,514,169,11.187835693359375,5
229,507,161,11.203637599945068,5
230,500,156,11.219853401184082,5
231,493,154,11.235720872879028,5
232,490,152,11.251827239990234,5
233,485,152,11.267493963241577,5
234,477,152,11.283395051956177,5
235,458,160,11.300992488861084,5
236,436,170,11.317405700683594,5
237,409,184,11.33492398262024,5
238,370,208,11.358827829360962,5
239,337,228,11.383138179779053,5
240,300,262,11.412991046905518,5
241,283,278,11.429114580154419,5
242,276,289,11.445091724395752,5
243,271,296,11.46116828918457,5
244,269,303,11.478010892868042,5
245,269,312,11.493510484695435,5
246,272,328,11.509320259094238,5
247,278,346,11.525472402572632,5
248,290,368,11.541240692138672,5
249,496,392,11.712772607803345,6
250,515,374,11.73499059677124,6
251,520,368,11.750941753387451,6
252,527,358,11.766753911972046,6
253,534,345,11.782819509506226,6
254,541,334,11.798719882965088,6
255,544,318,11.81486463546753,6
256,545,292,11.83069109916687,6
257,544,278,11.846938610076904,6
258,540,265,11.862806558609009,6
259,536,253,11.880838632583618,6
260,523,229,11.911712646484375,6
261,517,222,11.926772832870483,6
262,509,213,11.944603443145752,6
263,492,198,11.974738121032715,6
264,481,193,11.990995645523071,6
265,473,191,12.007254838943481,6
266,465,189,12.023932218551636,6
267,456,186,12.039821147918701,6
268,445,185,12.056952476501465,6
269,430,186,12.089314937591553,6
270,420,190,12.104537963867188,6
271,391,203,12.136995315551758,6
272,375,211,12.152995109558105,6
273,365,218,12.169188737869263,6
274,346,238,12.199376821517944,6
275,336,250,12.2152099609375,6
276,332,257,12.231142520904541,6
277,330,261,12.247471809387207,6
278,328,277,12.263641595840454,6
279,328,299,12.282715082168579,6
280,331,321,12.299520492553711,6
281,350,356,12.330098867416382,6
282,375,376,12.349685430526733,6
283,428,399,12.37459135055542,6
284,477,409,12.39048433303833,6
285,514,414,12.410135984420776,6
286,583,207,12.620769023895264,7
287,554,181,12.644652843475342,7
288,522,168,12.666996479034424,7
289,505,163,12.683208465576172,7
290,489,161,12.69989800453186,7
291,476,159,12.715834617614746,7
292,457,159,12.7318115234375,7
293,432,163,12.747548341751099,7
294,402,169,12.76416301727295,7
295,373,176,12.77944564819336,7
296,357,182,12.79574203491211,7
297,346,191,12.811633348464966,7
298,337,199,12.827800512313843,7
299,328,209,12.84387469291687,7
300,319,224,12.860132217407227,7
301,312,243,12.8771231174469,7
302,307,261,12.892934322357178,7
303,305,281,12.909131288528442,7
304,303,303,12.9245765209198,7
305,302,319,12.940530776977539,7
306,302,339,12.958695888519287,7
307,310,376,12.989075899124146,7
308,320,393,13.004555702209473,7
309,328,404,13.02063775062561,7
310,338,415,13.036916971206665,7
311,350,424,13.052833080291748,7
312,362,431,13.069934844970703,7
313,402,434,13.101937770843506,7
314,436,431,13.117925882339478,7
315,473,413,13.142541646957397,7
316,515,394,13.164690732955933,7
317,533,384,13.180368423461914,7
318,558,361,13.197415828704834,7
319,469,196,13.408775568008423,8
320,439,195,13.432880878448486,8
321,421,195,13.455044746398926,8
322,413,196,13.471120834350586,8
323,409,198,13.488104820251465,8
324,402,202,13.503957509994507,8
325,393,208,13.519198894500732,8
326,378,219,13.535959482192993,8
327,364,231,13.55215311050415,8
328,352,243,13.567158937454224,8
329,348,254,13.584125757217407,8
330,345,267,13.609802007675171,8
331,336,287,13.631462335586548,8
332,332,299,13.648925304412842,8
333,325,321,13.68118929862976,8
334,324,343,13.713178157806396,8
335,327,359,13.729187488555908,8
336,335,377,13.760673999786377,8
337,344,385,13.77698564529419,8
338,356,394,13.793190956115723,8
339,385,408,13.826717853546143,8
340,417,410,13.846710205078125,8
341,438,409,13.863153219223022,8
342,463,403,13.879615783691406,8
343,485,395,13.895670652389526,8
344,514,382,13.91878628730774,8
345,529,369,13.93892788887024,8
346,541,353,13.953933000564575,8
347,550,333,13.970162630081177,8
348,556,310,13.986141443252563,8
349,558,273,14.009270906448364,8
350,546,236,14.033405780792236,8
351,534,216,14.049891471862793,8
352,380,214,14.325781106948853,9
353,379,223,14.348307132720947,9
354,376,235,14.371999740600586,9
355,374,247,14.38782548904419,9
356,371,263,14.403663158416748,9
357,368,283,14.419981479644775,9
358,365,299,14.436124086380005,9
359,364,315,14.45315957069397,9
360,362,332,14.468960762023926,9
361,362,343,14.484928846359253,9
362,362,354,14.508641958236694,9
363,366,363,14.532744884490967,9
364,367,365,14.548708438873291,9
365,370,366,14.564917087554932,9
366,374,369,14.580844163894653,9
367,382,373,14.596947193145752,9
368,396,378,14.612823963165283,9
369,414,380,14.62898302078247,9
370,437,383,14.644835233688354,9
371,459,383,14.66215705871582,9
372,484,382,14.677985668182373,9
373,503,380,14.693938732147217,9
374,517,377,14.709658861160278,9
375,530,370,14.725897312164307,9
376,552,342,14.757929563522339,9
377,582,300,14.790159940719604,9
378,601,269,14.814539432525635,9
